File Name,Initial SOC,Final SOC,Average Speed,Final Accumulated Distance,Altitude Difference
Phil_DC_69_7degC,100.0000305,76.86277008,22.14934651,72871.35003,101.36819685
Phil_DC_70_1degC,100.0000305,75.29414368,20.9823618,69031.97031,99.69595591999999
Phil_DC_71_4degC,77.25492859,42.74511337,26.4530999,87030.69867,-114.13591425
Phil_DC_72_6degC,100.0000305,74.50982666,21.40113866,70409.74618,98.17678184
Phil_DC_73_0degC,100.0000305,74.90198517,22.01241274,72420.8379,106.34113497
Phil_DC_74_-4degC,96.07846069,58.82354736,26.20745998,86222.54332,95.84100593000001
Phil_DC_75_1degC,83.52944183,36.47060013,19.00124866,109086.1686,90.9873224
Phil_DC_76_-6degC,100.0000305,56.07844925,18.25383572,104795.2709,100.38900467
Phil_DC_77_-1degC,92.54904938,45.88236618,19.61327966,112580.2253,-89.42495661
Phil_DC_78_1degC,97.6470871,12.15686703,17.74262071,225508.7093,-83.04524196999999
Phil_DC_79_3degC,75.68630219,25.88236046,19.82791234,112701.8537,-90.28863641
Phil_DC_80_-4degC,70.19609833,22.35294914,19.22053399,112074.9337,-89.87897789
Phil_DC_81_-8degC,100.0000305,48.62746811,19.78722962,111164.656,105.44403021999999
Phil_DC_82_8degC,71.37257385,28.62746048,19.30531243,108457.2453,-87.02530177000001
Phil_DC_83_1degC,89.41179657,38.82354355,21.36737453,120041.9101,105.96377670000001
Phil_DC_84_2degC,61.17649078,16.86275101,19.84151194,111469.6141,-93.15894213
Phil_DC_85_3degC,58.82354736,14.90196514,20.22195186,113606.9256,-101.79700689
Phil_DC_86_10degC,56.86276245,18.03922081,19.91253114,111848.6874,-90.21954478
Phil_DC_87_11degC,79.2157135,69.41178894,6.206734836,36421.12002,11.558079499999991
Phil_DC_88_10degC,63.1372757,23.13726234,21.29357031,124950.6706,-91.51448593000002
Phil_DC_90_5degC,89.41179657,49.803936,19.06566175,111858.2375,-90.45627019999999
Phil_DC_91_9degC,88.62747955,12.94118023,19.20399548,223496.0994,0.3711854499999987
Phil_DC_92_16degC,85.09806824,21.17647743,16.08630213,220543.2023,-80.86835892000002
Phil_DC_93_10degC,97.6470871,13.33333778,14.68076395,268760.7456,-14.889448999999985
Phil_DC_9_3degC,80.00002289,38.03922653,23.33912714,93169.79554,-112.51654141
