SOC,V,I,T
56.86276245,349.5113636,-93.34091185,7
56.86276245,348.7625,-101.6700058,7
56.86276245,348.4318182,-105.1772759,7
56.86276245,348.85,-98.40000684,7
56.86276245,351.55,-58.08000335,7
56.86276245,352.75,-38.91818307,7
56.86276245,352.725,-41.41500015,7
56.86276245,352.5,-42.90000153,7
56.86276245,352.375,-43.80000305,7
56.86276245,351.25,-60.60000229,7
56.86276245,351.125,-62.70000076,7
56.86276245,353.9659091,-20.56363678,7
56.86276245,352.5625,-42.13500004,7
56.86276245,355.1363636,-3.763636286,7
56.86276245,355.75,4.560000324,7
56.86276245,356.75,16.35000038,7
56.86276245,357.1,20.1900013,7
56.86276245,357.0340909,19.30909244,7
56.86276245,355.6875,-1.259999941,7
56.86276245,354.6477273,-16.10454664,7
56.86276245,353.625,-30.36000061,7
56.86276245,352,-54.33000183,7
56.86276245,351.5909091,-58.5954576,7
56.86276245,353.5625,-27.67500162,7
56.86276245,355.9318182,6.177273319,7
56.86276245,356.4,11.91000099,7
56.86276245,355.575,-1.139999961,7
56.86276245,355.125,-10.05000019,7
56.86276245,354.375,-19.20000076,7
56.86276245,351.1136364,-65.45454823,7
56.86276245,349.95,-80.82000122,7
56.86276245,350.7,-68.7000061,7
56.86276245,350.6363636,-68.86364191,7
56.86276245,351.65,-53.02500275,7
56.86276245,355.3636364,0.490909077,7
56.86276245,356.5,15.90000057,7
56.86276245,356.5,13.65000057,7
56.86276245,355,-6.150000095,7
56.86276245,354.5555556,-15.88333368,7
56.86276245,350.3375,-53.95500278,7
56.86276245,349.1590909,-84.80454601,7
56.86276245,349.6,-81.03000488,7
56.86276245,350.65,-64.32000427,7
56.86276245,351.6022727,-50.60454871,7
56.86276245,351.525,-51.84000358,7
56.86276245,350.5795455,-65.64545787,7
56.86276245,350.725,-62.94000168,7
56.86276245,351.125,-56.70000076,7
56.86276245,350.0625,-70.20000458,7
56.86276245,352.3068182,-37.39091058,7
56.86276245,355.375,7.140000343,7
56.86276245,355.175,2.580000114,7
56.86276245,354.7386364,-4.009091139,7
56.86276245,354.425,-8.475000381,7
56.86276245,354.4886364,-7.827272994,7
56.86276245,355.3,3.270000219,7
56.86276245,356,12.0600008,7
56.86276245,356,9.300000191,7
56.86276245,354.95,-4.815000248,7
56.86276245,354.3295455,-14.31818251,7
56.86276245,352.625,-40.5,7
56.86276245,353.375,-27.00000191,7
56.86276245,353.125,-30.00000191,7
56.86276245,353.0113636,-30.81818338,7
56.86276245,354.2375,-12.27000084,7
56.86276245,353.5568182,-24.31363712,7
56.86276245,353.375,-27.45000076,7
56.86276245,354.775,-5.490000152,7
56.86276245,355.3068182,1.963636399,7
56.86276245,354.7625,-6.330000518,7
56.86276245,354.1818182,-15.64090937,7
56.86276245,353.1,-31.44000092,7
56.86276245,352.5,-39.09000244,7
56.86276245,352.4318182,-40.10454768,7
56.86276245,351.5625,-51.97500229,7
56.86276245,351.2045455,-56.48182019,7
56.86276245,352.1,-44.04000168,7
56.86276245,352.625,-36.30000305,7
56.86276245,354.625,-5.195454857,7
56.86276245,354.6931818,-3.518181996,7
56.86276245,354.9,-2.340000153,7
56.86276245,354.9,-4.890000153,7
56.86276245,354.4090909,-12.04090916,7
56.86276245,354.015625,-15.60000038,7
56.86276245,354.14,-15.44700037,7
56.86276245,354.19,-14.93700033,7
56.86276245,354.24,-14.42700029,7
56.86276245,354.29,-13.91700025,7
56.86276245,354.34,-13.40700022,7
56.77751093,354.4456522,-12.54130453,7.130434783
56.49333921,354.6811594,-10.84565233,7.565217391
56.20916748,354.9166667,-9.150000135,8
55.92499575,355.1521739,-7.454347937,8.434782609
55.64082403,355.3876812,-5.758695739,8.869565217
55.3566523,355.6231884,-4.063043541,9.304347826
55.07248058,355.8586957,-2.367391343,9.739130435
54.90197754,356,-1.555263199,10
54.90197754,356,-2.068421138,10
